Year,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP)
2000,Alabama,,51.60%,50.10%,,"1,672,551","3,241,682"
2000,Alaska,68.70%,68.10%,65.00%,"287,825","285,560","419,111"
2000,Arizona,46.40%,45.60%,40.20%,"1,559,520","1,532,016","3,357,701"
2000,Arkansas,,47.90%,46.00%,,"921,781","1,925,961"
2000,California,56.60%,55.70%,44.10%,"11,142,843","10,965,849","19,685,258"
2000,Colorado,,57.50%,53.70%,,"1,741,368","3,026,316"
2000,Connecticut,62.50%,61.90%,56.60%,"1,474,103","1,459,525","2,357,687"
2000,Delaware,,59.00%,54.90%,,"327,529","554,863"
2000,District of Columbia,,48.30%,43.90%,,"201,355","416,696"
2000,Florida,57.50%,55.90%,47.90%,"6,138,765","5,963,110","10,667,193"
2000,Georgia,47.60%,45.80%,42.40%,"2,684,951","2,583,208","5,639,668"
2000,Hawaii,44.60%,44.20%,39.90%,"371,113","367,951","832,642"
2000,Idaho,58.90%,57.20%,53.50%,"516,647","501,615","877,406"
2000,Illinois,58.50%,56.20%,51.40%,"4,932,192","4,742,123","8,432,600"
2000,Indiana,50.80%,49.30%,48.30%,"2,246,348","2,182,295","4,424,909"
2000,Iowa,,63.20%,59.60%,,"1,315,563","2,082,950"
2000,Kansas,56.70%,55.60%,54.00%,"1,092,716","1,072,216","1,927,950"
2000,Kentucky,53.10%,52.20%,50.40%,"1,568,058","1,544,107","2,955,628"
2000,Louisiana,56.70%,56.40%,54.20%,"1,776,133","1,765,656","3,130,267"
2000,Maine,,67.20%,66.40%,,"651,817","969,292"
2000,Maryland,55.80%,55.50%,51.00%,"2,036,455","2,025,480","3,649,631"
2000,Massachusetts,60.60%,59.90%,55.40%,"2,736,006","2,704,984","4,517,052"
2000,Michigan,60.50%,59.90%,57.30%,"4,279,299","4,232,501","7,070,702"
2000,Minnesota,70.10%,69.50%,66.40%,"2,458,303","2,438,657","3,506,432"
2000,Mississippi,,49.10%,47.80%,,"994,184","2,024,650"
2000,Missouri,,58.20%,56.20%,,"2,359,892","4,052,255"
2000,Montana,62.60%,61.60%,60.60%,"417,916","410,986","667,525"
2000,Nebraska,57.80%,56.90%,55.00%,"707,223","696,983","1,224,178"
2000,Nevada,45.60%,45.20%,40.20%,"613,360","608,970","1,346,116"
2000,New Hampshire,65.00%,63.90%,60.70%,"578,656","569,081","890,622"
2000,New Jersey,58.80%,56.90%,50.10%,"3,293,378","3,187,226","5,601,788"
2000,New Mexico,49.90%,48.50%,45.40%,"615,607","598,605","1,234,088"
2000,New York,56.20%,55.10%,47.50%,"6,960,215","6,821,999","12,380,208"
2000,North Carolina,52.50%,50.70%,47.50%,"3,015,964","2,911,262","5,744,241"
2000,North Dakota,61.10%,60.30%,59.70%,"292,249","288,256","477,968"
2000,Ohio,57.80%,56.70%,55.40%,"4,795,989","4,705,457","8,295,592"
2000,Oklahoma,,49.90%,48.00%,,"1,234,229","2,475,220"
2000,Oregon,65.90%,64.90%,59.10%,"1,559,215","1,533,968","2,364,402"
2000,Pennsylvania,,54.10%,52.30%,,"4,912,185","9,086,897"
2000,Rhode Island,54.70%,54.20%,50.70%,"412,074","408,783","753,877"
2000,South Carolina,48.70%,47.00%,45.70%,"1,433,533","1,382,717","2,944,326"
2000,South Dakota,58.70%,57.70%,56.90%,"322,159","316,269","548,498"
2000,Tennessee,50.50%,49.90%,48.10%,"2,100,241","2,076,181","4,162,996"
2000,Texas,49.20%,49.20%,42.40%,"6,407,637","6,407,037","13,033,081"
2000,Utah,54.80%,53.80%,50.30%,"784,582","770,754","1,431,668"
2000,Vermont,64.70%,64.10%,63.10%,"297,146","294,308","459,174"
2000,Virginia,55.00%,54.00%,50.90%,"2,789,808","2,739,447","5,069,265"
2000,Washington,61.40%,60.70%,56.20%,"2,517,028","2,487,433","4,098,044"
2000,West Virginia,,46.60%,46.10%,,"648,124","1,390,365"
2000,Wisconsin,,67.60%,64.50%,,"2,598,607","3,842,044"
2000,Wyoming,61.40%,59.20%,58.20%,"221,685","213,726","361,078"
2004,Alabama,57.40%,57.20%,55.20%,"1,890,317","1,883,415","3,292,608"
2004,Alaska,69.60%,69.10%,65.20%,"314,502","312,598","452,124"
2004,Arizona,54.80%,54.10%,47.00%,"2,038,069","2,012,585","3,717,055"
2004,Arkansas,54.40%,53.60%,51.00%,"1,070,573","1,054,945","1,969,208"
2004,California,59.60%,58.80%,47.10%,"12,589,367","12,421,852","21,132,533"
2004,Colorado,67.30%,66.70%,61.20%,"2,148,036","2,129,630","3,192,647"
2004,Connecticut,66.20%,65.00%,59.70%,"1,607,808","1,578,769","2,429,634"
2004,Delaware,64.50%,64.20%,59.40%,"377,407","375,190","584,817"
2004,District of Columbia,54.90%,54.30%,48.90%,"230,105","227,586","419,142"
2004,Florida,64.70%,64.40%,56.10%,"7,640,319","7,609,810","11,811,921"
2004,Georgia,56.40%,56.20%,50.00%,"3,317,336","3,301,875","5,878,186"
2004,Hawaii,48.50%,48.20%,44.10%,"431,662","429,013","889,540"
2004,Idaho,64.80%,63.20%,58.70%,"612,786","598,376","946,160"
2004,Illinois,62.40%,61.50%,55.70%,"5,350,493","5,274,322","8,576,696"
2004,Indiana,55.80%,54.80%,53.00%,"2,512,142","2,468,002","4,504,260"
2004,Iowa,70.60%,69.90%,67.40%,"1,521,966","1,506,908","2,156,389"
2004,Kansas,62.90%,61.60%,58.30%,"1,213,108","1,187,756","1,928,764"
2004,Kentucky,59.40%,58.70%,56.90%,"1,816,867","1,795,860","3,057,741"
2004,Louisiana,61.50%,61.10%,58.50%,"1,956,590","1,943,106","3,182,762"
2004,Maine,74.90%,73.80%,72.60%,"751,519","740,752","1,003,792"
2004,Maryland,63.10%,62.90%,57.20%,"2,395,791","2,386,705","3,797,264"
2004,Massachusetts,64.60%,64.20%,58.70%,"2,927,455","2,912,388","4,533,859"
2004,Michigan,67.10%,66.60%,63.90%,"4,875,692","4,839,252","7,263,024"
2004,Minnesota,78.80%,78.40%,73.90%,"2,842,912","2,828,387","3,609,185"
2004,Mississippi,,55.70%,54.20%,,"1,152,365","2,068,766"
2004,Missouri,66.10%,65.30%,62.90%,"2,764,635","2,731,364","4,180,960"
2004,Montana,65.20%,64.40%,63.40%,"456,096","450,445","699,114"
2004,Nebraska,64.10%,62.90%,59.80%,"792,906","778,186","1,236,522"
2004,Nevada,55.40%,55.30%,47.30%,"831,563","829,587","1,501,437"
2004,New Hampshire,71.50%,70.90%,68.40%,"683,672","677,738","956,422"
2004,New Jersey,64.20%,63.80%,55.20%,"3,638,153","3,611,691","5,663,201"
2004,New Mexico,60.40%,59.00%,53.90%,"775,301","756,304","1,282,767"
2004,New York,58.50%,58.00%,50.20%,"7,448,266","7,391,249","12,738,056"
2004,North Carolina,58.70%,57.80%,53.90%,"3,552,449","3,501,007","6,055,771"
2004,North Dakota,65.50%,64.80%,63.80%,"316,049","312,833","482,722"
2004,Ohio,67.90%,66.80%,65.10%,"5,722,443","5,627,908","8,427,696"
2004,Oklahoma,,58.30%,55.30%,,"1,463,758","2,510,823"
2004,Oregon,72.60%,72.00%,66.80%,"1,851,671","1,836,782","2,550,887"
2004,Pennsylvania,,62.60%,60.60%,,"5,769,590","9,221,962"
2004,Rhode Island,58.90%,58.50%,52.90%,"440,228","437,134","747,046"
2004,South Carolina,53.20%,53.00%,50.70%,"1,626,720","1,617,730","3,055,098"
2004,South Dakota,69.40%,68.20%,66.90%,"394,930","388,215","569,161"
2004,Tennessee,56.80%,56.30%,54.10%,"2,456,610","2,437,319","4,328,446"
2004,Texas,,53.70%,45.40%,,"7,410,765","13,796,256"
2004,Utah,59.80%,58.90%,54.70%,"942,010","927,844","1,574,463"
2004,Vermont,66.70%,66.30%,65.00%,"314,220","312,309","470,754"
2004,Virginia,61.10%,60.60%,56.20%,"3,223,156","3,198,367","5,277,156"
2004,Washington,67.50%,66.90%,60.80%,"2,883,499","2,859,084","4,272,914"
2004,West Virginia,55.10%,54.10%,53.40%,"769,645","755,887","1,396,545"
2004,Wisconsin,75.30%,74.80%,71.60%,"3,016,288","2,997,007","4,006,948"
2004,Wyoming,66.30%,65.70%,63.70%,"245,789","243,428","370,785"
2008,Alabama,61.00%,60.80%,58.40%,"2,105,622","2,099,819","3,454,510"
2008,Alaska,68.30%,68.00%,64.30%,"327,341","326,197","479,429"
2008,Arizona,57.40%,56.70%,49.10%,"2,320,851","2,293,475","4,046,075"
2008,Arkansas,52.90%,52.50%,50.00%,"1,095,958","1,086,617","2,071,563"
2008,California,61.70%,60.90%,49.50%,"13,743,177","13,561,900","22,261,504"
2008,Colorado,71.60%,71.00%,64.70%,"2,422,236","2,401,361","3,382,959"
2008,Connecticut,,66.60%,60.40%,,"1,646,792","2,471,082"
2008,Delaware,65.80%,65.60%,60.60%,"413,562","412,398","628,200"
2008,District of Columbia,61.70%,61.50%,55.20%,"266,871","265,853","432,566"
2008,Florida,66.60%,66.10%,57.60%,"8,453,743","8,390,744","12,687,407"
2008,Georgia,62.70%,62.50%,55.60%,"3,940,705","3,924,440","6,281,872"
2008,Hawaii,49.00%,48.80%,43.80%,"456,064","453,568","930,067"
2008,Idaho,64.80%,63.60%,58.60%,"667,506","655,032","1,029,416"
2008,Illinois,64.30%,63.60%,57.40%,"5,578,195","5,523,051","8,681,138"
2008,Indiana,60.30%,59.10%,57.00%,"2,805,986","2,751,054","4,653,019"
2008,Iowa,69.70%,69.40%,66.90%,"1,543,662","1,537,123","2,216,094"
2008,Kansas,63.50%,62.00%,58.80%,"1,264,208","1,235,872","1,991,759"
2008,Kentucky,59.00%,57.90%,55.70%,"1,858,578","1,826,508","3,152,629"
2008,Louisiana,61.80%,61.20%,58.70%,"1,979,852","1,960,761","3,205,794"
2008,Maine,71.80%,70.60%,69.60%,"744,456","731,163","1,036,242"
2008,Maryland,67.80%,67.00%,60.60%,"2,661,905","2,631,596","3,925,117"
2008,Massachusetts,67.30%,66.80%,60.90%,"3,102,995","3,080,985","4,612,550"
2008,Michigan,69.70%,69.20%,66.40%,"5,039,080","5,001,766","7,229,512"
2008,Minnesota,78.10%,77.80%,73.20%,"2,921,147","2,910,369","3,740,142"
2008,Mississippi,,61.00%,58.90%,,"1,289,856","2,113,347"
2008,Missouri,68.20%,67.60%,64.90%,"2,950,504","2,925,205","4,327,572"
2008,Montana,67.10%,66.30%,65.10%,"497,599","491,960","741,853"
2008,Nebraska,63.70%,62.90%,59.40%,"811,923","801,281","1,274,719"
2008,Nevada,57.20%,57.00%,48.40%,"970,019","967,848","1,696,831"
2008,New Hampshire,72.50%,71.70%,69.60%,"719,643","710,970","992,226"
2008,New Jersey,67.70%,67.00%,58.20%,"3,910,220","3,868,237","5,776,527"
2008,New Mexico,61.20%,60.90%,55.10%,"833,365","830,158","1,362,629"
2008,New York,59.60%,59.00%,51.40%,"7,721,718","7,640,640","12,948,969"
2008,North Carolina,66.10%,65.50%,60.70%,"4,354,571","4,310,789","6,584,302"
2008,North Dakota,63.60%,62.70%,61.70%,"321,133","316,621","504,762"
2008,Ohio,67.80%,66.90%,65.10%,"5,773,777","5,698,260","8,513,079"
2008,Oklahoma,56.30%,55.80%,52.80%,"1,474,694","1,462,661","2,619,121"
2008,Oregon,68.30%,67.70%,62.70%,"1,845,251","1,827,864","2,700,327"
2008,Pennsylvania,64.20%,63.60%,61.30%,"6,071,357","6,012,692","9,457,942"
2008,Rhode Island,62.30%,61.80%,57.10%,"475,428","471,766","763,608"
2008,South Carolina,58.20%,58.00%,55.30%,"1,927,153","1,920,969","3,311,044"
2008,South Dakota,65.60%,64.70%,63.40%,"387,449","381,975","590,720"
2008,Tennessee,57.40%,57.00%,54.50%,"2,618,238","2,599,749","4,563,192"
2008,Texas,,54.10%,45.50%,,"8,077,795","14,929,810"
2008,Utah,57.10%,56.00%,51.80%,"971,185","952,370","1,700,286"
2008,Vermont,67.70%,67.30%,66.00%,"326,822","325,046","482,677"
2008,Virginia,67.60%,67.00%,61.80%,"3,753,059","3,723,260","5,555,415"
2008,Washington,67.30%,66.60%,60.30%,"3,071,587","3,036,878","4,561,163"
2008,West Virginia,51.20%,49.90%,49.10%,"731,691","713,362","1,430,439"
2008,Wisconsin,72.70%,72.40%,69.30%,"2,997,086","2,983,417","4,120,694"
2008,Wyoming,63.10%,62.80%,60.90%,"256,035","254,658","405,732"
2012,Alabama,,58.60%,56.00%,,"2,074,338","3,539,217"
2012,Alaska,58.90%,58.70%,55.30%,"301,694","300,495","511,792"
2012,Arizona,53.00%,52.60%,46.50%,"2,323,579","2,306,559","4,387,900"
2012,Arkansas,51.10%,50.70%,47.70%,"1,078,548","1,069,468","2,109,847"
2012,California,55.70%,55.10%,45.10%,"13,202,158","13,038,547","23,681,837"
2012,Colorado,70.60%,69.90%,64.50%,"2,596,173","2,569,522","3,675,871"
2012,Connecticut,61.40%,61.30%,55.60%,"1,560,640","1,558,960","2,543,202"
2012,Delaware,,62.30%,57.80%,,"413,921","663,967"
2012,District of Columbia,61.60%,61.50%,55.50%,"294,254","293,764","477,582"
2012,Florida,63.30%,62.80%,55.10%,"8,538,264","8,474,179","13,495,057"
2012,Georgia,59.30%,59.00%,52.30%,"3,919,355","3,900,050","6,606,607"
2012,Hawaii,44.50%,44.20%,39.90%,"437,159","434,697","982,902"
2012,Idaho,61.00%,59.80%,55.60%,"666,290","652,274","1,091,410"
2012,Illinois,59.30%,58.90%,53.30%,"5,279,752","5,242,014","8,899,143"
2012,Indiana,56.00%,55.20%,52.90%,"2,663,368","2,624,534","4,755,291"
2012,Iowa,70.60%,70.30%,67.10%,"1,589,951","1,582,180","2,251,748"
2012,Kansas,58.20%,56.90%,53.50%,"1,182,771","1,156,254","2,030,686"
2012,Kentucky,56.20%,55.70%,53.40%,"1,815,843","1,797,212","3,229,185"
2012,Louisiana,60.80%,60.20%,57.00%,"2,014,548","1,994,065","3,311,626"
2012,Maine,69.30%,68.20%,67.00%,"724,758","713,180","1,046,008"
2012,Maryland,67.30%,66.60%,59.50%,"2,734,062","2,707,327","4,063,582"
2012,Massachusetts,66.20%,65.90%,60.20%,"3,184,196","3,167,767","4,809,675"
2012,Michigan,65.40%,64.70%,62.00%,"4,780,701","4,730,961","7,312,725"
2012,Minnesota,76.40%,76.00%,71.40%,"2,950,780","2,936,561","3,861,598"
2012,Mississippi,,59.30%,57.20%,,"1,285,584","2,166,825"
2012,Missouri,,62.20%,59.60%,,"2,757,323","4,432,957"
2012,Montana,63.50%,62.50%,61.60%,"491,966","484,048","774,476"
2012,Nebraska,61.10%,60.30%,56.90%,"804,245","794,379","1,316,915"
2012,Nevada,56.50%,56.40%,48.20%,"1,016,664","1,014,918","1,800,969"
2012,New Hampshire,70.90%,70.20%,67.80%,"718,700","710,972","1,013,420"
2012,New Jersey,62.20%,61.50%,53.20%,"3,683,638","3,640,292","5,918,182"
2012,New Mexico,54.80%,54.60%,49.80%,"786,522","783,757","1,436,363"
2012,New York,53.50%,53.10%,46.10%,"7,128,852","7,074,723","13,324,107"
2012,North Carolina,65.40%,64.80%,60.10%,"4,542,488","4,505,372","6,947,954"
2012,North Dakota,60.40%,59.80%,58.70%,"325,564","322,627","539,164"
2012,Ohio,65.10%,64.50%,62.70%,"5,632,423","5,580,822","8,649,495"
2012,Oklahoma,,49.20%,46.30%,,"1,334,872","2,713,268"
2012,Oregon,64.20%,63.10%,58.70%,"1,820,507","1,789,270","2,836,101"
2012,Pennsylvania,,59.50%,57.20%,,"5,742,040","9,651,432"
2012,Rhode Island,,58.00%,53.40%,,"446,049","768,918"
2012,South Carolina,56.80%,56.30%,53.60%,"1,981,516","1,964,118","3,486,838"
2012,South Dakota,60.10%,59.30%,57.60%,"368,270","363,815","613,190"
2012,Tennessee,52.30%,51.90%,49.40%,"2,478,870","2,458,577","4,736,084"
2012,Texas,,49.60%,41.70%,,"7,993,851","16,119,973"
2012,Utah,56.10%,55.50%,51.40%,"1,028,786","1,017,440","1,833,339"
2012,Vermont,61.20%,60.70%,59.60%,"301,793","299,290","493,355"
2012,Virginia,66.60%,66.10%,60.70%,"3,888,186","3,854,489","5,834,676"
2012,Washington,65.80%,64.80%,58.60%,"3,172,939","3,125,516","4,822,060"
2012,West Virginia,,46.30%,45.50%,,"670,438","1,447,066"
2012,Wisconsin,,72.90%,69.50%,,"3,068,434","4,209,370"
2012,Wyoming,59.00%,58.60%,56.40%,"250,701","249,061","425,142"
